brand_name,Astropay,Binance Pay,Bitcoin,Cleo,Cripto,Depósito bancario (Transferencia),ETpay,ETpay / Alps,ETpay / Kushki,ETpay / MONNET,Fintoc,"Fintoc, ALPS SPA",Flow,Ingresar Débito/Crédito,Khipu,MONNET,Mach,Mifinity,Muchbetter,Neteller,Pago en efectivo,Pago46,Prontopaga,Safetypay,Skrill,Skrill 1-Tap,"Webpay, ALPS SPA","Webpay, Kushki","Webpay, PK","Webpay, PayRetailers","Webpay, Payku","Webpay, ProntoPaga"
1XBET,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
APUESTAS ROYAL,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
BETANO,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1
BETSSON,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
COOLBET,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
EPICBET,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
JUGABET,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
LATAMWIN,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MI CASINO,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0
NOVIBET,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1
ROJABET,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
TONYBET,0,0,1,0,1,1,1,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0
